BoxNumber,FolderNumber,Contents,Date
5,210,"Exmouth, Pownoll Bastard Pellew, 2d Viscount, 1786-1833. ALS to T. J. Pettigrew",1817 Mar 21
5,211,"Eyton, Robert William, 1815-1881. 3 ALS to T. J. Pettigrew",[1856]-60
5,212,"Fairholt, Frederick William, 1814-1866. 2 ALS to T. J. Pettigrew",1852 May 29
5,213,"Falconer, Thomas, 1805-1882. 18 ALS to T. J. Pettigrew",1850-61
5,214,"Falkener, Edward, 1814-1896. ALS to T. J. Pettigrew",n.d.
5,215,"Farquhar, Mary Octavia (Somerset), lady, d. 1906. AL to T. J. Pettigrew",1848 Mar 1
5,216,"Farre, John Richard, 1775-1862. ALS to T. J. Pettigrew",1831 Nov 5
5,217,"Faulkner, Sir Arthur Brooke, 1779-1845. 12 ALS and 2 AL to T. J. Pettigrew and 1 calling card",1820-44
5,218,"Fellows, Sir Charles, 1799-1860. 2 ALS to T. J. Pettigrew",1855 Jul
5,219,"Ferguson, Robert, 1799-1865. ALS to T. J. Pettigrew",1843 Aug 10
5,220,"Ferrers, Washington Sewallis Shirley, 9th Earl of, 1822-1859. 2 ALS to T. J. Pettigrew",1851 May
5,221,"Ffolkes, Sir William John Henry Browne, bart., 1786-1860. AL to T. J. Pettigrew",1833 Jul 19
5,222,"Filmer, Sir Edmund, bart., 1809-1857. 2 ALS to T. J. Pettigrew","1853 Mar, May"
5,223,"Fitch, William Stevenson, 1793-1859. ALS to T. J. Pettigrew",1845 Sep 3
5,224,"Fitzhardinge, William Fitzhardinge Berkeley, 1st Earl, 1786-1857. 2 ALS to C. Roach Smith",1846 Jul
5,225,"Forbes, Sir Charles Ferguson, 1779-1852. 2 ALS to T. J. Pettigrew",1817 Jun
5,226,"Forbes, Sir John, 1787-1861. 5 ALS to T. J. Pettigrew",1839-40
5,227,"Forester, Thomas. ALS to T. J. Pettigrew",n.d.
5,228,"Foster, Peter Le Neve, 1809-1879. ALS to T. J. Pettigrew",1854 Jan 17
5,229,"Freeman, Edward A., 1823-1892. 2 ALS to T. J. Pettigrew","1854, 1856"
5,230,"French, Gilbert James, 1804-1866. 4 ALS to T. J. Pettigrew, 1 ALS to J.R. Planché, and 1 ALS to [John E. Engan?] Secretary of the B.A.A.",1850-60
5,231,"Fryer, Edward, 1761-1826. 2 ALS to T. J. Pettigrew","1818, 1828"
5,232,"Gage, Henry Hall Gage, 4th Viscount, 1791-1877. AL to T. J. Pettigrew",1833 Aug 15
5,233,"Gardiner, Sir Robert William, 1781-1864. 3 ALS to T. J. Pettigrew",1848 Aug
5,234,"Gerhard, E. ALS (in French) to T. J. Pettigrew",n.d.
5,235,"Gilbert, Ashurst Turner, Bp. of Chichester, 1786-1870. ALS and AL to T. J. Pettigrew","1854, 1861"
5,236,"Godwin, George, 1815-1888. 2 ALS to T. J. Pettigrew",1853 Apr
5,237,"Good, John Mason, 1764-1827. 2 ALS to T. J. Pettigrew","1815, 1821"
5,238,"Goodenough, Edmund, 1785-1845. 3 ALS to T. J. Pettigrew",1804-27
5,239,"Goodwin, Charles Wycliffe, 1817-1878. ALS to the Secretary of the B.A.A.",1862 May 5
5,240,"Gordon, J. E. 3 ALS to T. J. Pettigrew",[1831 or later]
5,241,"Gosford, Archibald Acheson, 2d Earl of, 1776-1849. 3 ALS to T. J. Pettigrew",1833-44
5,242,"Gosford, Archibald Acheson, 3d Earl of, 1806-1864. ALS to T. J. Pettigrew",1841 May 19
5,243,"Gould, Nathaniel. 2 ALS to T. J. Pettigrew","[1850], 1861"
5,244,"Grafton, William Henry FitzRoy, 6th Duke of, 1819-1882. ALS to T. J. Pettigrew",n.d.
5,245,"Granville, Augustus Bozzi, 1783-1872. 2 ALS to T. J. Pettigrew",n.d.
5,246,"Grenville, Thomas, 1755-1846. 4 ALS to T. J. Pettigrew",1805-42
5,247,"Grey, Charles Grey, 2d Earl, 1764-1845. 2 AL to T. J. Pettigrew","1819, 1829"
5,248,"Grey-Egerton, Sir Philip de Malpas, 1806-1881. ALS to T. J. Pettigrew",1850 Jun 5
5,249,"Guilford, Francis North, 6th Earl of, 1772-1861. 2 ALS to T. J. Pettigrew","1853 Feb, May"
